index,sentence,neg,neu,pos,compound
1,Moderator,0.0,1.0,0.0,0.0
2,reminder all participant lines will be in the listen-only mode.,0.0,1.0,0.0,0.0
3,There will be an opportunity for you to,0.0,0.714,0.286,0.4215
4,ask questions after the presentation concludes.,0.0,1.0,0.0,0.0
5,Should you need assistance during the conference,0.0,1.0,0.0,0.0
6,"call, please signal an  operator by pressing “*” and then “0” on your touchtone telephone.",0.0,0.859,0.141,0.3182
7,Please,0.0,0.0,1.0,0.3182
8,note that this conference is  being recorded.,0.0,1.0,0.0,0.0
9,I now hand the conference over to Mr. Sandeep,0.0,0.714,0.286,0.4939
10,Mahindroo.,0.0,1.0,0.0,0.0
11,"Thank you and over to you, Sir.",0.0,0.706,0.294,0.3612
12,Sandeep Mahindroo,0.0,1.0,0.0,0.0
13,Thanks Inba.,0.0,0.256,0.744,0.4404
14,Hello everyone and welcome to Infosys Earnings Call to discuss Q1 2023 Financial Results.,0.0,0.812,0.188,0.4588
15,This,0.0,1.0,0.0,0.0
16,is Sandeep from the Investor Relations team in Bangalore.,0.0,1.0,0.0,0.0
17,Joining us today on this call is CEO,0.0,1.0,0.0,0.0
18,"and MD, Mr. Salil Parekh; CFO, Mr. Nilanjan Roy; and other members of the senior management",0.0,1.0,0.0,0.0
19,team.,0.0,1.0,0.0,0.0
20,We will commence the call with some remarks on the performance of the company by Salil,0.0,1.0,0.0,0.0
21,and Nilanjan.,0.0,1.0,0.0,0.0
22,"Subsequent to which, we will open up the call for questions.",0.0,1.0,0.0,0.0
23,Please note that anything that we say that refers to our outlook for the future is a forward-looking,0.0,0.881,0.119,0.3182
24,statement that must be read in conjunction with the risks that the company faces.,0.139,0.861,0.0,-0.2732
25,A full statement,0.0,1.0,0.0,0.0
26,"and explanation of these risks is available in our filings with the SEC, which can be found on",0.11,0.89,0.0,-0.2732
27,www.sec.gov.,0.0,1.0,0.0,0.0
28,I would now like to pass on the call to Salil.,0.0,0.8,0.2,0.3612
29,Salil Parekh,0.0,1.0,0.0,0.0
30,"Thanks, Sandeep.",0.0,0.256,0.744,0.4404
31,Good morning and good evening to everyone on the call.,0.0,0.58,0.42,0.7003
32,Thank you all for,0.0,0.545,0.455,0.3612
33,taking the time to join us.,0.0,0.694,0.306,0.296
34,We had an excellent start to the financial year with 5.5% sequential growth and 21.4% year-on-,0.0,0.69,0.31,0.743
35,year growth in constant currency terms.,0.0,0.658,0.342,0.3818
36,We continue to gain market share with our Cobalt cloud capabilities and our differentiated digital,0.0,0.699,0.301,0.6808
37,value proposition driving a significant pipeline of opportunities for us.,0.0,0.507,0.493,0.7003
38,For example a premier online retailer in the U.S. leveraged Infosys Cobalt to embark on a cloud-,0.0,1.0,0.0,0.0
39,driven transformation journey to enhance the customer experience and improve their security,0.0,0.654,0.346,0.6486
40,posture.,0.0,1.0,0.0,0.0
41,Another example is European manufacturer who is reimagining their Digital workplace with best-,0.0,0.741,0.259,0.6369
42,of-breed network security and IT infrastructure powered by Infosys Cobalt.,0.0,0.789,0.211,0.34
43,There are examples like this all across the spectrum in different sectors and that are driving,0.0,0.857,0.143,0.3612
44,Infosys Cobalt into the market.,0.0,1.0,0.0,0.0
45,Clients continue to place an immense amount of trust and confidence in Infosys to help accelerate,0.0,0.583,0.417,0.8519
46,"their digital transformation agenda, both on efficiency and the growth dimension of their business.",0.0,0.702,0.298,0.6249
47,The strong growth we have seen in the quarter lays a robust foundation for the year.,0.0,0.61,0.39,0.8074
48,"Growth continues to remain broad-based across the segments, service lines and geographies.",0.0,0.809,0.191,0.3818
49,Each of our business segments grew in double-digits with several of them growing at 25% or,0.0,0.898,0.102,0.1779
50,higher.,0.0,1.0,0.0,0.0
51,In terms of geography the U.S. geography grew at 18.4% and Europe grew at 33.2%.,0.0,1.0,0.0,0.0
52,This,0.0,1.0,0.0,0.0
53,indicates a healthy demand environment and is a reflection of how our industry-leading digital,0.093,0.741,0.167,0.296
54,capabilities are relevant for our clients.,0.0,1.0,0.0,0.0
55,Our Digital revenues were 61% of the total and grew at 37.5% in the quarter in constant currency,0.0,1.0,0.0,0.0
56,terms.,0.0,1.0,0.0,0.0
57,"Within digital, our cloud work continues to grow faster, with our Cobalt cloud capability",0.0,1.0,0.0,0.0
58,seeing significant traction with our clients.,0.0,0.735,0.265,0.2023
59,Our overall pipeline remains strong.,0.0,0.548,0.452,0.5106
60,"We do see pockets of weakness, for example in the area of",0.203,0.797,0.0,-0.4215
61,mortgages in Financial Services.,0.0,1.0,0.0,0.0
62,We keep a close watch on the evolving macro environment in,0.0,1.0,0.0,0.0
63,terms of the changes to the pipeline.,0.0,1.0,0.0,0.0
64,"Within our pipeline, we also have focus in addition to the",0.0,1.0,0.0,0.0
65,growth areas in digital and cloud to the cost areas through automation and AI.,0.0,0.833,0.167,0.3818
66,Our operating margins were at 20%.,0.0,1.0,0.0,0.0
67,We have completed the majority of our compensation review,0.0,1.0,0.0,0.0
68,for this year.,0.0,1.0,0.0,0.0
69,"Nilanjan, will also provide more details on the overall margin update.",0.0,1.0,0.0,0.0
70,Some other highlights of our results are,0.0,1.0,0.0,0.0
71,-,0.0,1.0,0.0,0.0
72,We signed 19 large deals with a TCV of $1.69 bn.,0.0,1.0,0.0,0.0
73,This is comprises of 50% net new work,0.0,1.0,0.0,0.0
74,-,0.0,1.0,0.0,0.0
75,Our onsite mix was at 24.3%,0.0,1.0,0.0,0.0
76,-,0.0,1.0,0.0,0.0
77,"As we build capacity for the future, our utilization was at healthy levels of 84.7%",0.0,0.838,0.162,0.4019
78,-,0.0,1.0,0.0,0.0
79,Our free cash flow was strong at $656 mn,0.0,0.515,0.485,0.765
80,-,0.0,1.0,0.0,0.0
81,Our quarterly attrition declined.,0.0,1.0,0.0,0.0
82,"Historically, Q1 attrition increases by three to four",0.0,1.0,0.0,0.0
83,"percentage points sequentially on a quarterly annualized basis; however, our attrition",0.0,1.0,0.0,0.0
84,declined by one percentage point on a sequential basis - reflecting the impact of various,0.0,1.0,0.0,0.0
85,initiatives we have put in place,0.0,1.0,0.0,0.0
86,-,0.0,1.0,0.0,0.0
87,"We had a net headcount increase of over 21,000 employees attracting leading talent from",0.0,0.573,0.427,0.802
88,"the market, which is a reflection of our enhanced recruitment capabilities, solid brand and",0.0,0.89,0.11,0.1531
89,deeper penetration into various talent markets.,0.0,0.641,0.359,0.4215
90,Our Cobalt Cloud capability continues to be market leading.,0.0,1.0,0.0,0.0
91,We have 360 technology and domain,0.0,1.0,0.0,0.0
92,"solutions, five of our assets have over 50 clients each, we have 150 industry focused solutions, 20",0.0,0.628,0.372,0.6908
93,"Infosys living labs, 50 experimentation programs, and 60,000 knowledge assets.",0.0,0.841,0.159,0.1779
94,Our ‘One Infosys’ approach is serving us well to bring the best of Infosys and service to our client’s,0.0,0.73,0.27,0.743
95,needs.,0.0,1.0,0.0,0.0
96,"Earlier this month we announced the acquisition of BASE Life Sciences, a Denmark-based",0.0,1.0,0.0,0.0
97,technology and consulting firm in the life sciences industry.,0.0,1.0,0.0,0.0
98,BASE brings to Infosys domain,0.0,1.0,0.0,0.0
