index,sentence,label,score
1,Moderator,POSITIVE,0.87275183
2,reminder all participant lines will be in the listen-only mode.,POSITIVE,0.95099574
3,There will be an opportunity for you to,POSITIVE,0.5623168
4,ask questions after the presentation concludes.,POSITIVE,0.92514145
5,Should you need assistance during the conference,POSITIVE,0.9222135
6,"call, please signal an  operator by pressing “*” and then “0” on your touchtone telephone.",POSITIVE,0.9365113
7,Please,POSITIVE,0.86515075
8,note that this conference is  being recorded.,POSITIVE,0.93337524
9,I now hand the conference over to Mr. Sandeep,POSITIVE,0.9446689
10,Mahindroo.,POSITIVE,0.9321756
11,"Thank you and over to you, Sir.",POSITIVE,0.7932428
12,Sandeep Mahindroo,POSITIVE,0.8899787
13,Thanks Inba.,POSITIVE,0.7905829
14,Hello everyone and welcome to Infosys Earnings Call to discuss Q1 2023 Financial Results.,POSITIVE,0.9052521
15,This,POSITIVE,0.87451565
16,is Sandeep from the Investor Relations team in Bangalore.,POSITIVE,0.9410389
17,Joining us today on this call is CEO,POSITIVE,0.9334094
18,"and MD, Mr. Salil Parekh; CFO, Mr. Nilanjan Roy; and other members of the senior management",POSITIVE,0.9452403
19,team.,POSITIVE,0.9234609
20,We will commence the call with some remarks on the performance of the company by Salil,POSITIVE,0.94127196
21,and Nilanjan.,POSITIVE,0.92888415
22,"Subsequent to which, we will open up the call for questions.",POSITIVE,0.94630975
23,Please note that anything that we say that refers to our outlook for the future is a forward-looking,POSITIVE,0.9166317
24,statement that must be read in conjunction with the risks that the company faces.,POSITIVE,0.9502856
25,A full statement,POSITIVE,0.9228605
26,"and explanation of these risks is available in our filings with the SEC, which can be found on",POSITIVE,0.95116043
27,www.sec.gov.,POSITIVE,0.94347596
28,I would now like to pass on the call to Salil.,POSITIVE,0.9135697
29,Salil Parekh,POSITIVE,0.8668303
30,"Thanks, Sandeep.",POSITIVE,0.55510557
31,Good morning and good evening to everyone on the call.,POSITIVE,0.8685864
32,Thank you all for,POSITIVE,0.49775806
33,taking the time to join us.,POSITIVE,0.8674425
34,We had an excellent start to the financial year with 5.5% sequential growth and 21.4% year-on-,NEGATIVE,0.9549468
35,year growth in constant currency terms.,POSITIVE,0.50311816
36,We continue to gain market share with our Cobalt cloud capabilities and our differentiated digital,NEGATIVE,0.92640024
37,value proposition driving a significant pipeline of opportunities for us.,NEGATIVE,0.82679874
38,For example a premier online retailer in the U.S. leveraged Infosys Cobalt to embark on a cloud-,POSITIVE,0.70846677
39,driven transformation journey to enhance the customer experience and improve their security,NEGATIVE,0.8679728
40,posture.,POSITIVE,0.92171293
41,Another example is European manufacturer who is reimagining their Digital workplace with best-,POSITIVE,0.9094787
