index,sentence,label,score
1,Moderator,POSITIVE,0.87275183
2,"As a reminder, all participant lines will be in the listen-only mode and there will be an",POSITIVE,0.9442856
3,opportunity for you to ask questions after the presentation concludes.,POSITIVE,0.93343097
4,Should you need,POSITIVE,0.88743174
5,"assistance during the conference call, please signal an operator by pressing “*” then “0”",POSITIVE,0.92778724
6,on your touchtone phone.,POSITIVE,0.9371522
7,Please note that this conference is being recorded.,POSITIVE,0.9463836
8,I now hand,POSITIVE,0.803854
9,the conference over to Mr. Sandeep Mahindroo.,POSITIVE,0.94655895
10,Thank you and over to you Sir!,POSITIVE,0.63561
11,Sandeep Mahindroo,POSITIVE,0.8899787
12,"Thanks, Margreth.",NEGATIVE,0.5888269
13,Hello everyone and welcome to Infosys Earnings Call to discuss Q3,POSITIVE,0.9160365
14,FY22 results.,POSITIVE,0.72503936
15,I am Sandeep from the Investor Relations team in Bengaluru.,POSITIVE,0.9209335
16,Let me begin,POSITIVE,0.90427935
17,by wishing everyone a very happy New Year.,POSITIVE,0.8927373
18,"Joining us today on this earnings call, is CEO and MD, Mr. Salil Parekh; CFO, Mr. Nilanjan",POSITIVE,0.94364715
19,Roy along with other members of the senior management team.,POSITIVE,0.9357752
20,We will start the call with some remarks on the performance of the company by Salil and,POSITIVE,0.9408524
21,"Nilanjan, after that we will open the call for questions.",POSITIVE,0.93989825
22,"Please note that anything that we say, which refer to our outlook for the future is a",POSITIVE,0.95006603
23,"forward-looking statement, which must be read in conjunction with the risk that the",POSITIVE,0.94365436
24,company faces.,POSITIVE,0.9005629
25,A full statement and explanation of these risks is available in our filings,POSITIVE,0.9490434
26,"with the SEC, which can be found on www.sec.gov.",POSITIVE,0.950779
27,I would now like to turn it over to Salil.,POSITIVE,0.9396199
28,Salil Parekh,POSITIVE,0.8668303
29,Good evening and good morning to everyone on the call.,POSITIVE,0.86998326
30,Wish you all a Happy New Year,POSITIVE,0.77006835
31,and trust you and your dear ones are well and safe.,POSITIVE,0.70815855
32,Thank you for making the time to join,POSITIVE,0.66080475
33,us today.,POSITIVE,0.928886
34,I am delighted to share with you that we had an extremely strong quarter with 7.0%,NEGATIVE,0.9530971
35,sequential growth and 21.5% YoY growth in constant currency terms.,NEGATIVE,0.6714119
36,Our YoY growth,POSITIVE,0.8554535
37,was the fastest we have had in 11 years.,NEGATIVE,0.73736775
38,"The growth was broad-based across industries, service lines and geographies driven by",POSITIVE,0.77412474
39,our differentiated digital and cloud capabilities.,POSITIVE,0.64949363
40,A strong broad-based growth in a,NEGATIVE,0.9201394
41,seasonally weak quarter is a clear testament to the enormous confidence clients have in,NEUTRAL,0.87389946
42,us to help them accelerate their business transformation.,NEGATIVE,0.5489186
43,This has been made possible by the relentless commitment of our employees through,NEGATIVE,0.663034
44,these challenging times.,POSITIVE,0.75048214
45,I am extremely proud as well as grateful for their extraordinary,NEGATIVE,0.64820445
46,efforts in delivering success for our clients.,NEGATIVE,0.644079
47,Our growth has been accompanied by resilient operating margins at 23.5%.,NEGATIVE,0.9519664
48,We delivered,POSITIVE,0.9002421
49,these margins while keeping in the forefront our focus on employees with increased,POSITIVE,0.6028956
50,compensation and benefits.,POSITIVE,0.9155602
51,Our digital business grew by 42.6% and is now 58.5% of our overall revenues.,NEGATIVE,0.7213775
52,Within,POSITIVE,0.78540856
53,"digital, our cloud work is growing faster, and our Cobalt cloud capabilities are resonating",NEGATIVE,0.6979027
54,tremendously with our clients.,NEGATIVE,0.8947993
55,Some of the highlights of our results are,POSITIVE,0.75244516
56,1.,POSITIVE,0.92499614
57,"Revenues at $4.25 bn, with a growth 21.5% YoY and 7.0% sequential in constant",NEGATIVE,0.9147095
58,currency,POSITIVE,0.9024736
59,2.,POSITIVE,0.9217363
60,"Broad-based growth across all our industries, service lines and geographies.",NEGATIVE,0.6373855
61,All our,POSITIVE,0.90037334
62,"segments reported a strong double-digit growth,",NEGATIVE,0.95452476
63,3.,POSITIVE,0.92621195
64,"Large deals at $2.5 bn,",POSITIVE,0.6172395
65,4.,POSITIVE,0.9269275
66,"Onsite mix at 23.8% and utilization at 88.5%,",POSITIVE,0.8853169
