index,sentence,neg,neu,pos,compound
1,Moderator,0.0,1.0,0.0,0.0
2,"As a reminder, all participant lines will be in the listen-only mode and there will be an",0.0,1.0,0.0,0.0
3,opportunity for you to ask questions after the presentation concludes.,0.0,0.763,0.237,0.4215
4,Should you need,0.0,1.0,0.0,0.0
5,"assistance during the conference call, please signal an operator by pressing “*” then “0”",0.0,0.85,0.15,0.3182
6,on your touchtone phone.,0.0,1.0,0.0,0.0
7,Please note that this conference is being recorded.,0.0,0.753,0.247,0.3182
8,I now hand,0.0,0.385,0.615,0.4939
9,the conference over to Mr. Sandeep Mahindroo.,0.0,1.0,0.0,0.0
10,Thank you and over to you Sir!,0.0,0.682,0.318,0.4199
11,Sandeep Mahindroo,0.0,1.0,0.0,0.0
12,"Thanks, Margreth.",0.0,0.256,0.744,0.4404
13,Hello everyone and welcome to Infosys Earnings Call to discuss Q3,0.0,0.769,0.231,0.4588
14,FY22 results.,0.0,1.0,0.0,0.0
15,I am Sandeep from the Investor Relations team in Bengaluru.,0.0,1.0,0.0,0.0
16,Let me begin,0.0,1.0,0.0,0.0
17,by wishing everyone a very happy New Year.,0.0,0.504,0.496,0.7089
18,"Joining us today on this earnings call, is CEO and MD, Mr. Salil Parekh; CFO, Mr. Nilanjan",0.0,1.0,0.0,0.0
19,Roy along with other members of the senior management team.,0.0,1.0,0.0,0.0
20,We will start the call with some remarks on the performance of the company by Salil and,0.0,1.0,0.0,0.0
21,"Nilanjan, after that we will open the call for questions.",0.0,1.0,0.0,0.0
22,"Please note that anything that we say, which refer to our outlook for the future is a",0.0,0.874,0.126,0.3182
23,"forward-looking statement, which must be read in conjunction with the risk that the",0.149,0.851,0.0,-0.2732
24,company faces.,0.0,1.0,0.0,0.0
25,A full statement and explanation of these risks is available in our filings,0.149,0.851,0.0,-0.2732
26,"with the SEC, which can be found on www.sec.gov.",0.0,1.0,0.0,0.0
27,I would now like to turn it over to Salil.,0.0,0.783,0.217,0.3612
28,Salil Parekh,0.0,1.0,0.0,0.0
29,Good evening and good morning to everyone on the call.,0.0,0.58,0.42,0.7003
30,Wish you all a Happy New Year,0.0,0.439,0.561,0.7506
31,and trust you and your dear ones are well and safe.,0.0,0.391,0.609,0.872
32,Thank you for making the time to join,0.0,0.561,0.439,0.5719
33,us today.,0.0,1.0,0.0,0.0
34,I am delighted to share with you that we had an extremely strong quarter with 7.0%,0.0,0.588,0.412,0.8439
35,sequential growth and 21.5% YoY growth in constant currency terms.,0.0,0.606,0.394,0.6369
36,Our YoY growth,0.0,0.435,0.565,0.3818
37,was the fastest we have had in 11 years.,0.0,1.0,0.0,0.0
38,"The growth was broad-based across industries, service lines and geographies driven by",0.0,0.809,0.191,0.3818
39,our differentiated digital and cloud capabilities.,0.0,1.0,0.0,0.0
40,A strong broad-based growth in a,0.0,0.404,0.596,0.7096
41,seasonally weak quarter is a clear testament to the enormous confidence clients have in,0.144,0.547,0.308,0.5095
42,us to help them accelerate their business transformation.,0.0,0.722,0.278,0.4019
43,This has been made possible by the relentless commitment of our employees through,0.0,0.743,0.257,0.4215
44,these challenging times.,0.0,0.556,0.444,0.1531
45,I am extremely proud as well as grateful for their extraordinary,0.0,0.477,0.523,0.8297
46,efforts in delivering success for our clients.,0.0,0.619,0.381,0.5719
47,Our growth has been accompanied by resilient operating margins at 23.5%.,0.0,0.794,0.206,0.3818
48,We delivered,0.0,1.0,0.0,0.0
49,these margins while keeping in the forefront our focus on employees with increased,0.0,0.851,0.149,0.2732
50,compensation and benefits.,0.0,0.435,0.565,0.3818
51,Our digital business grew by 42.6% and is now 58.5% of our overall revenues.,0.0,1.0,0.0,0.0
52,Within,0.0,1.0,0.0,0.0
53,"digital, our cloud work is growing faster, and our Cobalt cloud capabilities are resonating",0.0,0.884,0.116,0.1779
54,tremendously with our clients.,0.0,1.0,0.0,0.0
55,Some of the highlights of our results are,0.0,1.0,0.0,0.0
56,1.,0.0,1.0,0.0,0.0
57,"Revenues at $4.25 bn, with a growth 21.5% YoY and 7.0% sequential in constant",0.0,0.833,0.167,0.3818
58,currency,0.0,1.0,0.0,0.0
59,2.,0.0,1.0,0.0,0.0
60,"Broad-based growth across all our industries, service lines and geographies.",0.0,0.776,0.224,0.3818
61,All our,0.0,1.0,0.0,0.0
62,"segments reported a strong double-digit growth,",0.0,0.404,0.596,0.7096
63,3.,0.0,1.0,0.0,0.0
64,"Large deals at $2.5 bn,",0.0,1.0,0.0,0.0
65,4.,0.0,1.0,0.0,0.0
66,"Onsite mix at 23.8% and utilization at 88.5%,",0.0,1.0,0.0,0.0
67,5.,0.0,1.0,0.0,0.0
68,"Operating margins strong at 23.5%,",0.0,0.548,0.452,0.5106
69,6.,0.0,1.0,0.0,0.0
70,"Free cash flow at $719 mn,",0.0,0.602,0.398,0.5106
71,7.,0.0,1.0,0.0,0.0
72,Attrition increased to 25.5%.,0.0,0.588,0.412,0.2732
73,Our quarterly annualized attrition was flattish on,0.0,1.0,0.0,0.0
74,sequential basis.,0.0,1.0,0.0,0.0
75,8.,0.0,1.0,0.0,0.0
76,"We had a net headcount increase of 12,450, attracting leading talent from the",0.0,0.549,0.451,0.802
77,market.,0.0,1.0,0.0,0.0
78,"We have increased our annual college recruiting target to 55,000, and",0.0,0.826,0.174,0.2732
79,Nilanjan will comment more on this.,0.0,1.0,0.0,0.0
80,We remain comfortable with our ability to,0.0,0.472,0.528,0.6808
81,support our clients in their digital transformation journey.,0.0,0.722,0.278,0.4019
82,Financial Services grew at 15.5% in constant currency with broad-based growth across,0.0,0.809,0.191,0.3818
83,geographies and steady deal wins.,0.0,0.519,0.481,0.5719
84,"Various subsectors like lending, mortgage, cards,",0.0,0.667,0.333,0.3612
85,payments are seeing increasing demand and clients are driving cloud transformation,0.13,0.87,0.0,-0.128
86,initiatives to build resilient and scalable platforms.,0.0,1.0,0.0,0.0
87,Retail segment growth was 19.8% in constant currency.,0.0,0.729,0.271,0.3818
88,Across sub-verticals we see,0.0,1.0,0.0,0.0
89,"increased client spend on digital transformation including digital supply chain,",0.0,0.811,0.189,0.2732
90,omnichannel commerce and large-scale cost take out initiatives to improve business,0.0,0.775,0.225,0.4404
91,resilience.,0.0,1.0,0.0,0.0
92,We signed six large deals in this segment during the quarter.,0.0,1.0,0.0,0.0
93,The communication segment grew at 22.2% on constant currency.,0.0,1.0,0.0,0.0
94,Segment performance,0.0,1.0,0.0,0.0
95,continued to improve with ramp up of recently won deals.,0.0,0.548,0.452,0.765
96,Client budgets are focused on,0.0,0.606,0.394,0.3818
97,"digital and customer experience programs, increasing networking infrastructure, cloud",0.0,1.0,0.0,0.0
98,adoption and security with emphasis on 5G roll out and innovation spend.,0.0,0.667,0.333,0.6124
99,"Energy, utility, resources and services vertical continued its steady performance with",0.0,0.826,0.174,0.2732
100,13.6% constant currency growth and 5 large deal wins.,0.0,0.526,0.474,0.743
101,We are seeing gradual,0.0,1.0,0.0,0.0
102,improvement across various businesses as consumer spending continues to increase and,0.0,0.629,0.371,0.6486
103,clients focus on increasing technology transformation around areas like customer,0.0,0.783,0.217,0.3612
104,"experience, cybersecurity and workload migration to the cloud.",0.0,1.0,0.0,0.0
105,The manufacturing segment growth accelerated to 48.4% in constant currency with,0.0,0.794,0.206,0.3818
106,continued ramp up of the Daimler deal and steady momentum in new deal wins.,0.0,0.778,0.222,0.5719
107,We see,0.0,1.0,0.0,0.0
108,across the broad improvement within various subsectors and geographies and expect,0.0,0.769,0.231,0.4588
109,"client focus to continue in areas like smart manufacturing, IOT, digital supply chain and",0.0,0.698,0.302,0.6369
110,connected products.,0.0,1.0,0.0,0.0
